topic_id,category_id,post_count,avg_score
120702,7,12,565.9833333333333
120726,19,1,61.4
120755,7,8,512.975
120780,7,108,318.8148148148149
12078,21,5,36.67999999999999
120830,7,5,23.12
120843,21,5,35.08
12089,21,21,64.06666666666668
12092,7,2,181.2
120940,7,6,240.46666666666667
120954,7,1,32.6
12095,21,3,326.3333333333333
120960,7,8,1255.7499999999998
12098,7,2,87.8
121040,8,13,1751.0769230769224
121061,19,3,492.53333333333336
12123,7,2,863.8000000000001
121278,8,3,2114.266666666667
12131,7,4,57.5
121458,7,6,141.33333333333331
121459,7,1,1293.0
121483,19,3,420.26666666666665
12153,7,2,420.6
121594,7,3,357.73333333333335
121624,21,21,49.93333333333333
121626,7,2,1683.7
12163,21,3,532.8000000000001
12164,7,2,76.69999999999999
121655,19,1,1348.6
121696,19,9,1545.9333333333334
12169,7,2,204.0
121738,7,2,19.5
12173,21,2,822.1
121756,7,2,3748.8999999999996
121762,7,4,372.1
12177,8,12,258.78333333333336
121784,7,9,1375.3111111111111
121785,7,24,177.0333333333333
121799,7,4,135.7
121833,7,4,229.9
12183,7,5,66.67999999999999
121874,8,3,804.0666666666667
121876,19,9,1035.888888888889
121933,19,1,127.4
121938,7,15,793.4533333333334
121945,7,3,1099.2
121955,7,4,629.25
121970,7,3,1800.9333333333334
121974,7,2,38.7
12198,7,14,567.1999999999999
122022,19,1,551.2
122084,19,1,22.0
12208,7,3,259.2
122091,7,36,445.52222222222224
122095,7,1,72.4
122112,7,13,2237.984615384615
122141,21,17,28.752941176470593
12218,21,4,13.450000000000001
122215,19,1,1036.0
12225,21,4,93.44999999999999
122269,19,1,817.6
122289,7,3,1097.5333333333333
122323,19,1,96.2
122357,19,3,1036.9333333333334
12235,7,14,188.67142857142855
122371,19,6,290.3666666666667
122392,19,2,48.7
122402,19,10,1628.6000000000001
122415,7,2,1302.0
122442,19,1,502.0
12245,21,13,106.06153846153842
122579,7,1,204.4
122602,7,10,197.58
12261,21,2,277.0
122644,7,10,497.36
122696,21,2,3103.7999999999997
122703,7,1,48.6
12272,7,7,1109.4571428571428
122751,7,2,247.60000000000002
122784,8,2,373.3
122785,21,1,229.6
122816,19,40,878.0649999999999
122834,7,15,1500.386666666667
12289,21,2,26.700000000000003
122903,7,4,29.350000000000005
122915,19,5,9772.880000000001
12294,8,2,275.09999999999997
122951,7,2,56.0
122966,7,4,527.4000000000001
12296,21,2,206.7
122976,7,2,723.2
122993,19,3,35.199999999999996
122994,19,5,1348.2800000000002
122997,19,8,5185.099999999999
1229,21,3,18.466666666666665
12300,21,3,99.53333333333335
123071,21,3,92.59999999999998
123085,7,5,108.4
123128,7,2,30.099999999999998
123135,7,6,1062.2333333333333
12316,7,4,74.3
123180,19,7,1079.4857142857145
123181,7,14,627.8000000000001
123183,19,1,15.8
123199,7,7,10465.371428571427
12327,21,23,121.04347826086955
123315,7,4,113.10000000000001
123321,21,2,506.29999999999995
123353,7,3,205.9333333333333
123409,7,4,1223.8999999999999
123420,7,1,47.2
123441,7,1,128.4
12345,8,11,619.1090909090908
12355,8,9,989.1555555555557
12356,7,5,60.96
12359,7,2,253.2
12365,8,15,70.83999999999999
123677,7,2,123.5
123692,21,6,251.4333333333334
123712,7,50,890.636
123725,7,5,509.2800000000001
123746,7,3,86.93333333333334
123757,7,9,2537.4
123764,8,7,1098.0285714285715
123772,7,2,2682.9
123773,7,2,182.8
1237,7,9,1601.822222222222
123820,21,1,1894.2
